"id","name","code"
"hr_payslip_input_type_54_b29d1840","Mức tối đa đóng BHXH/SI","MTDBHXHSI"
"hr_payslip_input_type_56_c246705e","Mức tối đa đóng BHYT/HI","MTDBHYTHI"
"hr_payslip_input_type_59_716240e2","Mức tối đa trừ Đoàn phí công đoàn/Trade union fee deduction:","MTDDPCD"
"hr_payslip_input_type_61_93d96dce","Mức tối đa đóng Kinh phí công đoàn/Trade union fund","MTDKPCD"
"hr_payslip_input_type_63_ed9051a1","Mức tối đa BH TNLĐ - BNN/Accidents - Occupational Diseases","MTDBHTNLĐ"
"hr_payslip_input_type_65_636080f9","Miễn Thuế TNCN đối với khoản hỗ trợ tiền ăn trưa","MTHTTAT"
