"id","name","column_import","is_fixed","code","amount"
"hr_allowance_htht","Thu nhập khác được miễn thuế TNCN","","True","TNKMT","0.0"
"hr_allowance_htxx","Phụ cấp hàng tháng xăng xe","ALLOWANCE1","","HTXX","0.0"
"hr_allowance_httat","Phụ cấp tiền ăn trưa","ALLOWANCE2","","HTTAT","0.0"
"hr_allowance_httn","Phụ cấp Trách nhiệm","ALLOWANCE3","","HTTN","0.0"
"hr_allowance_pccv","Phụ cấp công việc/Working allowance (*):","","True","PCCV","0.0"
"hr_allowance_tnk","Thu nhập khác CÓ tính đóng BHXH/Additional income that IS deducted by SI,HI,UI (*)","","","TNK","0.0"
"hr_allowance_tnot","Thu nhập thêm ngoài giờ","ALLOWANCE4","","TNOT","0.0"
